<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240827;000000;0.09542;0.09674;0.09236;0.09266;2404890000;0.00438;0.003384466;;;;;
20240828;000000;0.09276;0.09332;0.0892;0.09266;4281690000;0.00412;0.003706582;;;;;
20240829;000000;0.09266;0.09328;0.09062;0.0918;1656860000;0.00266;0.004054768;;;;;
20240830;000000;0.09154;0.09212;0.0881;0.08924;2706440000;0.00402;0.00369583;;;;;
20240902;000000;0.08852;0.0891;0.07762;0.07942;10190450000;0.01148;0.00358495;;;;;
20240903;000000;0.0793;0.08156;0.07506;0.0776;13468520000;0.0065;0.005955364;;;;;
20240904;000000;0.07772;0.08168;0.07642;0.08094;5348330000;0.00526;0.006086326;;;;;
20240905;000000;0.0812;0.08486;0.0801;0.0808;4671980000;0.00476;0.005988386;;;;;
20240906;000000;0.08096;0.08196;0.0786;0.0806;2870680000;0.00336;0.006123404;;;;;
20240909;000000;0.08098;0.0852;0.08086;0.0852;3808590000;0.00434;0.005878616;;;;;
20240910;000000;0.08548;0.08548;0.08122;0.0834;2489060000;0.00426;0.004724362;;;;;
20240911;000000;0.08314;0.08406;0.0805;0.08086;2254390000;0.00356;0.004367162;;;;;
20240912;000000;0.08086;0.08132;0.07918;0.0804;1386550000;0.00214;0.004019012;;;;;
20240913;000000;0.08044;0.08226;0.0785;0.0818;3872220000;0.00376;0.00337593;;;;;
20240916;000000;0.08222;0.08416;0.08128;0.08376;3426380000;0.00288;0.003562944;;;;;
20240917;000000;0.08386;0.0868;0.08312;0.08598;3858870000;0.00368;0.003277212;;;;;
20240918;000000;0.08602;0.08878;0.08352;0.08454;4915110000;0.00526;0.003259924;;;;;
20240919;000000;0.08452;0.08518;0.0836;0.08432;1986300000;0.00158;0.003732946;;;;;
20240920;000000;0.08432;0.08684;0.0843;0.08654;2457400000;0.00254;0.003307126;;;;;
20240923;000000;0.0867;0.08756;0.0863;0.0875;1834920000;0.00126;0.003063274;;;;;
20240924;000000;0.0876;0.088;0.08656;0.08748;1496820000;0.00144;0.002637774;;;;;
20240925;000000;0.0874;0.08778;0.08504;0.08576;1743060000;0.00274;0.002271628;;;;;
20240926;000000;0.08602;0.08648;0.08416;0.08526;1620780000;0.00232;0.001973654;;;;;
